title,text,prep_text,source
2024-12.16 (월) ~ 2025-01.09 (목),2024-겨울 계절학기 수업 기간,2024 겨울 계절학기 수업 기간,2024년 학사 일정
2024-12.26 (목) ~ 2025-01.14 (화),2024-전기(2025년 2월 졸업) 졸업사정 기간,2024 전기2025년 2월 졸업 졸업사정 기간,2024년 학사 일정
2024-12.31 (화) ~ 2025-01.01 (수),신정 휴무,신정 휴무,2024년 학사 일정
2025-01.06 (월) ~ 2025-01.10 (금),2025-1학기 복학 신청 기간,2025 1학기 복학 신청 기간,2025년 학사 일정
2025-01.13 (월),2024-겨울 계절학기 성적 확인 및 이의신청 기간,2024 겨울 계절학기 성적 확인 및 이의신청 기간,2025년 학사 일정
2025-01.13 (월) ~ 2025-01.17 (금),2025-1학기 (학과->융합자율학부) 소속변경 신청 기간,2025 1학기 학과→융합자율학부 소속변경 신청 기간,2025년 학사 일정
2025-01.13 (월) ~ 2025-01.14 (화),2025-1학기 학사학위취득유예 신청 기간,2025 1학기 학사학위취득유예 신청 기간,2025년 학사 일정
2025-01.14 (화),2024-겨울 계절학기 성적 이관일,2024 겨울 계절학기 성적 이관일,2025년 학사 일정
2025-01.15 (수) ~ 2025-01.16 (목),2024-전기(2025년 2월 졸업) 졸업사정 결과조회,2024 전기2025년 2월 졸업 졸업사정 결과조회,2025년 학사 일정
2025-01.20 (월) ~ 2025-01.24 (금),2025-1학기 2차 전공 신청 및 변경 기간,2025 1학기 2차 전공 신청 및 변경 기간,2025년 학사 일정
2025-01.20 (월) ~ 2025-01.24 (금),2025-1학기 자기주도설계전공 신청 기간,2025 1학기 자기주도설계전공 신청 기간,2025년 학사 일정
2025-01.20 (월) ~ 2025-01.31 (금),에코집중휴무기간,에코집중휴무기간,2025년 학사 일정
2025-01.28 (화) ~ 2025-01.30 (목),설 연휴,설 연휴,2025년 학사 일정
2025-02.03 (월) ~ 2025-02.06 (목),2025-1학기 수강바구니 신청 기간,2025 1학기 수강바구니 신청 기간,2025년 학사 일정
2025-02.10 (월) ~ 2025-02.12 (수),2025-1학기 수강신청 기간,2025 1학기 수강신청 기간,2025년 학사 일정
2025-02.12 (수),2025-1학기 제한수업 신청 기간,2025 1학기 제한수업 신청 기간,2025년 학사 일정
2025-02.13 (목),2024-전기(2025년 2월 졸업) 학위수여식,2024 전기2025년 2월 졸업 학위수여식,2025년 학사 일정
2025-02.17 (월) ~ 2025-02.21 (금),2025-1학기 분할납부 신청기간,2025 1학기 분할납부 신청기간,2025년 학사 일정
2025-02.17 (월) ~ 2025-02.19 (수),2025-1학기 재학생 등록기간,2025 1학기 재학생 등록기간,2025년 학사 일정
2025-02.20 (목),2025학년도 신입생 입학식,2025학년도 신입생 입학식,2025년 학사 일정
2025-02.24 (월),2025학년도 신.편입생 수강신청,2025학년도 신.편입생 수강신청,2025년 학사 일정
2025-02.25 (화) ~ 2025-02.27 (목),2025학년도 신입생 새내기배움터,2025학년도 신입생 새내기배움터,2025년 학사 일정
2025-02.28 (금),2024-동계방학 종료일,2024 동계방학 종료일,2025년 학사 일정
2025-03.01 (토),삼일절,삼일절,2025년 학사 일정
2025-03.03 (월),대체공휴일,대체공휴일,2025년 학사 일정
2025-03.04 (화) ~ 2025-04.04 (금),2025-1학기 2차 교내장학금 신청 기간,2025 1학기 2차 교내장학금 신청 기간,2025년 학사 일정
2025-03.04 (화),2025-1학기 개강일,2025 1학기 개강일,2025년 학사 일정
2025-03.04 (화) ~ 2025-03.10 (월),2025-1학기 대체과목재수강 신청 기간,2025 1학기 대체과목재수강 신청 기간,2025년 학사 일정
2025-03.04 (화) ~ 2025-03.10 (월),2025-1학기 수강신청 변경기간,2025 1학기 수강신청 변경기간,2025년 학사 일정
